facet_id,lat,lon,richtung_deg,neigung_deg,kw,kwh_kwp,gradprz,modarea,str,openmeteo_azimuth
PPVD_2520737,51.209114,6.839015,174,40,21.317,914.264,100,145.348,19489.0,-6
PPVD_2536654,51.235978,6.78918,176,41,15.661,914.264,99,97.754,14318.5,-4
PPVD_2371307,51.199678,6.780698,183,39,12.181,914.264,99,76.266,11136.6,3
PPVD_2346430,51.21053,6.775641,177,30,10.441,914.264,99,72.795,9545.73,-3
PPVD_2581684,51.210431,6.798502,186,37,14.356,914.264,99,109.738,13125.4,6
PPVD_2371586,51.21094,6.770132,184,44,15.226,914.264,99,102.26,13920.8,4
PPVD_2584674,51.235197,6.791661,180,41,30.452,914.264,99,202.56,27841.6,0
PPVD_2448200,51.211453,6.746835,175,33,10.441,914.264,99,77.03,9545.73,-5
PPVD_2371601,51.210837,6.772764,185,37,13.921,914.264,99,94.824,12727.4,5
PPVD_2371225,51.256717,6.760877,165,34,22.622,914.264,99,131.271,20682.3,-15
PPVD_2554190,51.21183,6.786147,182,39,29.147,914.264,99,191.608,26648.2,2
PPVD_2327281,51.219386,6.822702,180,40,30.017,913.456,99,248.852,27419.4,0
PPVD_2328113,51.187691,6.820113,180,34,13.051,913.456,99,86.393,11921.5,0
PPVD_2447670,51.231701,6.750992,181,44,16.531,913.456,99,116.906,15100.6,1
PPVD_2577570,51.245627,6.804477,181,38,10.006,913.456,99,65.857,9139.73,1
PPVD_2584130,51.218017,6.785976,185,29,14.356,913.456,99,101.243,13113.8,5
